Netherlands,0,4,France,1982-06-13,,"Utrecht, Netherlands"
France,10,0,Netherlands,1983-06-05,,"La Teste, France"
Netherlands,0,3,France,1984-05-27,,"Hilversum, Netherlands"
France,20,0,Netherlands,1985-06-02,,"Bourg en Bresse, France"
Italy,0,0,France,1985-06-22,,"Riccione, Italy"
Great Britain,8,14,France,1986-04-19,,"Richmond, London, England"
Netherlands,10,0,France,1986-05-01,,"Enschede, Netherlands"
Netherlands,11,6,Sweden,1986-10-17,,"Nijmegen, Netherlands"
France,22,3,Netherlands,1987-05-31,,"Chalon-sur-Saône, France"
France,13,3,Netherlands,1988-05-21,1988 European Cup,"Bourg en Bresse, France"
France,16,3,Italy,1988-05-22,1988 European Cup,"Bourg en Bresse, France"
France,8,6,Great Britain,1988-05-23,1988 European Cup,"Bourg en Bresse, France"
Belgium,0,66,France,1988-11-27,,"Brussels, Belgium"
Great Britain,13,0,France,1989-03-04,,"Rosslyn Park, England"
Great Britain,32,0,Italy,1990-03-18,,"Moseley, England"
Netherlands,0,26,England,1990-10-21,,"Utrecht, Netherlands"
England,24,13,Wales,1991-03-24,,"The Gnoll, Neath, Wales"
England,12,0,Spain,1991-04-06,1991 WRWC,"Swansea, Wales"
England,25,9,Italy,1991-04-08,1991 WRWC,"Llanharan, Wales"
England,13,0,France,1991-04-12,1991 WRWC,"Cardiff Arms Park, Cardiff, Wales"
England,6,19,United States,1991-04-14,1991 WRWC,"Cardiff Arms Park, Cardiff, Wales"
United States,13,12,Canada,1992-09-13,,"Blaine, Minnesota"
England,17,6,United States,1993-06-08,1993 Canada Cup,"Fletcher's Fields, Markham, Ontario, Canada"
Canada,8,12,England,1993-06-10,1993 Canada Cup,"Ajax, Ontario, Canada"
England,38,0,Wales,1993-06-12,1993 Canada Cup,"Fletcher's Fields, Markham, Ontario, Canada"
Wales,10,11,England,1994-02-13,,"Northampton RFC, Northampton, England"
England,32,8,France,1994-02-18,,"Wolverhampton, England"
England,66,0,Russia,1994-04-11,1994 WRWC,"Boroughmuir RFC, Edinburgh, Scotland"
Scotland,0,26,England,1994-04-15,1994 WRWC,"Boroughmuir RFC, Edinburgh, Scotland"
England,24,10,Canada,1994-04-17,1994 WRWC,"Gala RFC, Galashiels, Scotland"
England,18,6,France,1994-04-20,1994 WRWC,"Gala RFC, Galashiels, Scotland"
England,38,23,United States,1994-04-24,1994 WRWC,"Edinburgh Academicals RFC, Edinburgh, Scotland"
England,30,5,Netherlands,1994-12-18,,"Wasps RFC, London, England"
England,25,0,Wales,1995-02-12,,"Sale RFC, England"
England,56,3,Wales,1996-02-04,1996 Women's Home Nations,"Leicester, England"
Scotland,8,12,England,1996-03-03,1996 Women's Home Nations,"Meggetland Sports Complex, Edinburgh, Scotland"
England,12,8,Ireland,1996-03-17,1996 Women's Home Nations,"Sunbury-on-Thames, England"
England,17,15,Spain,1997-01-05,,"Leeds, England"
England,23,3,Scotland,1997-01-26,1997 Women's Home Nations,"Blackheath, England"
Ireland,0,32,England,1997-02-09,1997 Women's Home Nations,"Limerick, Ireland"
England,15,17,France,1997-02-23,,"Northampton, England"
France,55,18,Germany,1997-04-02,1997 Women's European Championship,"Nice, France"
France,10,15,England,1997-04-04,1997 Women's European Championship,"Nice, France"
England,24,8,Scotland,1997-04-06,1997 Women's European Championship,"Nice, France"
New Zealand,67,0,England,1997-08-13,,"Burnham, New Zealand"
New Zealand,44,0,Australia,1997-08-16,,"Dunedin, New Zealand"
Germany,6,134,New Zealand,1998-05-02,1998 WRWC,"Amsterdam, Netherlands"
New Zealand,76,0,Scotland,1998-05-05,1998 WRWC,"Amsterdam, Netherlands"
New Zealand,46,3,Spain,1998-05-09,1998 WRWC,"Amsterdam, Netherlands"
England,11,44,New Zealand,1998-05-12,1998 WRWC,"Amsterdam, Netherlands"
New Zealand,44,12,United States,1998-05-16,1998 WRWC,"Amsterdam, Netherlands"
Australia,3,27,New Zealand,1998-08-29,,"Sydney, Australia"
New Zealand,73,0,Canada,1999-10-16,Triangular '99,"Palmerston North, New Zealand"
New Zealand,65,5,United States,1999-10-19,Triangular '99,"Palmerston North, New Zealand"
Canada,0,41,New Zealand,2000-09-23,2000 Canada Cup,"Winnipeg, Manitoba, Canada"
New Zealand,45,0,United States,2000-09-27,2000 Canada Cup,"Winnipeg, Manitoba, Canada"
England,13,32,New Zealand,2000-09-30,2000 Canada Cup,"Winnipeg, Manitoba, Canada"
New Zealand,15,10,England,2001-06-09,,"Rotorua, New Zealand"
New Zealand,17,22,England,2001-06-16,,"North Harbour Stadium, North Shore City, New Zealand"
Scotland,8,35,England,2002-02-03,2002 Women's Six Nations,"Dunbar, Scotland"
England,79,0,Ireland,2002-02-17,2002 Women's Six Nations,"Worcester, England"
France,22,17,England,2002-03-01,2002 Women's Six Nations,"Tournon, Lyon, France"
Scotland,12,22,France,2002-03-24,2002 Women's Six Nations,"Inverleith, Scotland"
France,46,0,Ireland,2002-04-05,2002 Women's Six Nations,"Melun, France"
France,31,12,Kazakhstan,2002-05-13,2002 WRWC,"Sant Boi de Llobregat, Barcelona, Spain"
United States,9,21,France,2002-05-17,2002 WRWC,"Girona, Barcelona, Spain"
New Zealand,30,0,France,2002-05-20,2002 WRWC,"Cornellà de Llobregat, Barcelona, Spain"
New Zealand,19,9,England,2002-05-25,2002 WRWC,"Olympic Stadium, Barcelona, Spain"
Canada,5,32,New Zealand,2004-06-08,2004 Women's Churchill Cup,"Thunderbird Stadium, Vancouver, Canada"
New Zealand,35,0,United States,2004-06-13,2004 Women's Churchill Cup,"Calgary Rugby Park, Calgary, Canada"
England,0,38,New Zealand,2004-06-19,2004 Women's Churchill Cup,"Edmonton, Alberta, Canada"
New Zealand,30,9,Scotland,2005-06-29,2005 Canada Cup,"Ottawa, Ontario, Canada"
Canada,3,43,New Zealand,2005-07-05,2005 Canada Cup,"Ottawa, Ontario, Canada"
Canada,5,32,New Zealand,2005-07-08,2005 Canada Cup,"Ottawa, Ontario, Canada"
New Zealand,24,15,England,2005-10-22,,"Eden Park, Auckland, New Zealand"
New Zealand,33,8,England,2005-10-26,,"Waikako Stadium, Hamilton, New Zealand"
Canada,7,66,New Zealand,2006-08-31,2006 WRWC,"Ellerslie Rugby Park, Edmonton, Alberta, Canada"
New Zealand,50,0,Samoa,2006-09-04,2006 WRWC,"St. Albert Rugby Park, St. Albert, Alberta, Canada"
New Zealand,21,0,Scotland,2006-09-08,2006 WRWC,"Ellerslie Rugby Park, Edmonton, Alberta, Canada"
New Zealand,40,10,France,2006-09-12,2006 WRWC,"Ellerslie Rugby Park, Edmonton, Alberta, Canada"
England,17,25,New Zealand,2006-09-17,2006 WRWC,"Commonwealth Stadium, Edmonton, Alberta, Canada"
New Zealand,21,10,Australia,2007-10-16,,"Cooks Gardens, Whanganui, New Zealand"
New Zealand,29,12,Australia,2007-10-20,,"Wellington, New Zealand"
Australia,3,37,New Zealand,2008-10-14,,"Viking Park, Wanniassa, Australia"
Australia,16,22,New Zealand,2008-10-18,,"Viking Park, Wanniassa, Australia"
England,3,16,New Zealand,2009-11-14,,"Esher, England"
England,10,3,New Zealand,2009-11-21,,"Twickenham, England"
England,31,0,Wales,2010-02-06,2010 Women's Six Nations,"Pillar Data Arena, Esher, England"
Italy,0,41,England,2010-02-13,2010 Women's Six Nations,"Stadio Nando Capra, Noceto, Italy"
England,22,5,Ireland,2010-02-28,2010 Women's Six Nations,"Pillar Data Arena, Esher, England"
Scotland,0,51,England,2010-03-13,2010 Women's Six Nations,"Meggetland Sports Complex, Edinburgh, Scotland"
France,10,11,England,2010-03-19,2010 Women's Six Nations,"Stade Commandant Bougouin, Rennes, France"
England,27,0,Ireland,2010-08-20,2010 WRWC,"Surrey Sports Park, Guildford, England"
England,82,0,Kazakhstan,2010-08-24,2010 WRWC,"Surrey Sports Park, Guildford, England"
England,37,10,United States,2010-08-28,2010 WRWC,"Surrey Sports Park, Guildford, England"
England,15,0,Australia,2010-09-01,2010 WRWC,"Twickenham Stoop, London, England"
New Zealand,13,10,England,2010-09-05,2010 WRWC,"Twickenham Stoop, London, England"
England,10,0,New Zealand,2011-11-26,,"Twickenham, London, England"
England,21,7,New Zealand,2011-11-29,,"Esher, England"
England,8,8,New Zealand,2011-12-03,,"Esher, England"
Scotland,0,47,England,2012-02-05,2012 Women's Six Nations,"Lasswade, Scotland"
Italy,3,43,England,2012-02-12,2012 Women's Six Nations,"Recco, Genoa, Italy"
England,33,0,Wales,2012-02-25,2012 Women's Six Nations,"Twickenham, London, England"
France,3,15,England,2012-03-11,2012 Women's Six Nations,"Stade Sébastien Charléty, Paris, France"
England,23,6,Ireland,2012-03-17,2012 Women's Six Nations,"Esher, England"
England,61,0,Spain,2012-05-13,2012 Women's European Championship,"Rovereto, Italy"
Italy,8,32,England,2012-05-16,2012 Women's European Championship,"Rovereto, Italy"
England,29,25,France,2012-05-19,2012 Women's European Championship,"Rovereto, Italy"
England,23,13,France,2012-11-03,,"Esher, England"
England,16,13,New Zealand,2012-11-23,,"Esher, England"
England,17,8,New Zealand,2012-11-27,,"Aldershot Military Stadium, Aldershot, England"
England,32,23,New Zealand,2012-12-01,,"Twickenham, London, England"
England,76,0,Scotland,2013-02-02,2013 Women's Six Nations,"Mosley Road, Esher, England"
Ireland,25,0,England,2013-02-09,2013 Women's Six Nations,"Archerstown Road, Ashbourne, Ireland"
Scotland,3,30,Ireland,2013-02-23,2013 Women's Six Nations,"New Hawthornden Stadium, Bonnyrigg, Scotland"
Ireland,15,10,France,2013-03-08,2013 Women's Six Nations,"Archerstown Road, Ashbourne, Ireland"
Italy,3,6,Ireland,2013-03-17,2013 Women's Six Nations,"Centro Sportivo Rino Venegoni e Luciano Marazzini, Parabiago, Milan, Italy"
Ireland,59,0,Scotland,2014-01-31,2014 Women's Six Nations,"Archerstown Road, Ashbourne, Ireland"
Ireland,14,6,Wales,2014-02-07,2014 Women's Six Nations,"Archerstown Road, Ashbourne, Ireland"
England,17,10,Ireland,2014-02-22,2014 Women's Six Nations,"Twickenham, London, England"
